layer_name;method;run0;run1;run2;run3;run4;mean;median
model.model.layers.0.self_attn.q_proj;Sputnik;0.14336000382900238;0.1454399973154068;0.14339199662208557;0.14336000382900238;0.14336000382900238;0.14378240704536438;0.14336000382900238
model.model.layers.0.self_attn.q_proj;Ours;0.09216000139713287;0.09216000139713287;0.09107200056314468;0.09216000139713287;0.09113600105047226;0.09173760563135147;0.09216000139713287
model.model.layers.0.self_attn.k_proj;Sputnik;0.1443839967250824;0.14339199662208557;0.1443839967250824;0.1443839967250824;0.1443839967250824;0.14418558776378632;0.1443839967250824
model.model.layers.0.self_attn.k_proj;Ours;0.07168000191450119;0.07260800153017044;0.0719040036201477;0.07372800260782242;0.07168000191450119;0.07231999933719635;0.0719040036201477
model.model.layers.0.self_attn.v_proj;Sputnik;0.1424960047006607;0.14233599603176117;0.14313599467277527;0.14336000382900238;0.14448000490665436;0.1431616097688675;0.14313599467277527
model.model.layers.0.self_attn.v_proj;Ours;0.09216000139713287;0.09120000153779984;0.09091199934482574;0.09193599969148636;0.09123200178146362;0.09148800373077393;0.09123200178146362
model.model.layers.0.self_attn.o_proj;Sputnik;0.14454400539398193;0.1451839953660965;0.1443839967250824;0.1443839967250824;0.14454400539398193;0.14460799098014832;0.14454400539398193
model.model.layers.0.self_attn.o_proj;Ours;0.07884799689054489;0.07868800312280655;0.07884799689054489;0.07964800298213959;0.07887999713420868;0.0789823979139328;0.07884799689054489
model.model.layers.0.mlp.gate_proj;Sputnik;0.38092800974845886;0.37987199425697327;0.3758080005645752;0.37990400195121765;0.37785598635673523;0.3788736164569855;0.37987199425697327
model.model.layers.0.mlp.gate_proj;Ours;0.36537599563598633;0.3664959967136383;0.36454400420188904;0.36556801199913025;0.40435200929641724;0.3732672333717346;0.36556801199913025
model.model.layers.0.mlp.up_proj;Sputnik;0.37273600697517395;0.37068799138069153;0.37068799138069153;0.37068799138069153;0.3688639998435974;0.37073278427124023;0.37068799138069153
model.model.layers.0.mlp.up_proj;Ours;0.3574399948120117;0.36137598752975464;0.35942399501800537;0.36131200194358826;0.35942399501800537;0.3597951829433441;0.35942399501800537
model.model.layers.0.mlp.down_proj;Sputnik;0.35926398634910583;0.35942399501800537;0.35839998722076416;0.3592959940433502;0.35839998722076416;0.35895678400993347;0.35926398634910583
model.model.layers.0.mlp.down_proj;Ours;0.14643199741840363;0.14560000598430634;0.14643199741840363;0.1454080045223236;0.14745600521564484;0.14626559615135193;0.14643199741840363
model.model.layers.1.self_attn.q_proj;Sputnik;0.13529600203037262;0.13743999600410461;0.1361279934644699;0.13619199395179749;0.13619199395179749;0.1362495869398117;0.13619199395179749
model.model.layers.1.self_attn.q_proj;Ours;0.11257600039243698;0.11366400122642517;0.11580800265073776;0.11283200234174728;0.11264000087976456;0.11350400745868683;0.11283200234174728
model.model.layers.1.self_attn.k_proj;Sputnik;0.14233599603176117;0.14336000382900238;0.14336000382900238;0.14336000382900238;0.14336000382900238;0.14315520226955414;0.14336000382900238
model.model.layers.1.self_attn.k_proj;Ours;0.09830400347709656;0.09728000313043594;0.09833600372076035;0.10857599973678589;0.09830400347709656;0.10016000270843506;0.09830400347709656
model.model.layers.1.self_attn.v_proj;Sputnik;0.1451839953660965;0.14441600441932678;0.14643199741840363;0.14528000354766846;0.1443839967250824;0.1451392024755478;0.1451839953660965
model.model.layers.1.self_attn.v_proj;Ours;0.1085439994931221;0.10751999914646149;0.10751999914646149;0.1085439994931221;0.10751999914646149;0.10792960226535797;0.10751999914646149
model.model.layers.1.self_attn.o_proj;Sputnik;0.1464959979057312;0.14643199741840363;0.14643199741840363;0.14643199741840363;0.14643199741840363;0.14644478261470795;0.14643199741840363
model.model.layers.1.self_attn.o_proj;Ours;0.08390399813652039;0.0870399996638298;0.08383999764919281;0.08211199939250946;0.08191999793052673;0.08376320451498032;0.08383999764919281
model.model.layers.1.mlp.gate_proj;Sputnik;0.41471999883651733;0.4136959910392761;0.4136959910392761;0.4145919978618622;0.4137600064277649;0.4140928387641907;0.4137600064277649
model.model.layers.1.mlp.gate_proj;Ours;0.3604480028152466;0.36048001050949097;0.35942399501800537;0.3604480028152466;0.3604480028152466;0.3602496087551117;0.3604480028152466
model.model.layers.1.mlp.up_proj;Sputnik;0.40035200119018555;0.40140798687934875;0.40243199467658997;0.40227198600769043;0.40243199467658997;0.4017791748046875;0.40227198600769043
model.model.layers.1.mlp.up_proj;Ours;0.3473280072212219;0.34406399726867676;0.3461120128631592;0.347135990858078;0.3489600121974945;0.34672001004219055;0.347135990858078
model.model.layers.1.mlp.down_proj;Sputnik;0.36556801199913025;0.36368000507354736;0.36556801199913025;0.36454400420188904;0.3646399974822998;0.36480003595352173;0.3646399974822998
model.model.layers.1.mlp.down_proj;Ours;0.1802240014076233;0.17817600071430206;0.17817600071430206;0.18111999332904816;0.17923200130462646;0.17938558757305145;0.17923200130462646
model.model.layers.2.self_attn.q_proj;Sputnik;0.12697599828243256;0.1340160071849823;0.13312000036239624;0.131071999669075;0.131071999669075;0.13125120103359222;0.131071999669075
model.model.layers.2.self_attn.q_proj;Ours;0.11059200018644333;0.11161600053310394;0.11161600053310394;0.11264000087976456;0.11161600053310394;0.11161600053310394;0.11161600053310394
model.model.layers.2.self_attn.k_proj;Sputnik;0.12800000607967377;0.12697599828243256;0.12697599828243256;0.12800000607967377;0.1279039978981018;0.1275712102651596;0.1279039978981018
model.model.layers.2.self_attn.k_proj;Ours;0.10956799983978271;0.1085439994931221;0.10956799983978271;0.10739199817180634;0.10956799983978271;0.10892800241708755;0.10956799983978271
model.model.layers.2.self_attn.v_proj;Sputnik;0.13619199395179749;0.13619199395179749;0.13619199395179749;0.13619199395179749;0.13619199395179749;0.13619199395179749;0.13619199395179749
model.model.layers.2.self_attn.v_proj;Ours;0.0899839997291565;0.09017600119113922;0.09196799993515015;0.09203200042247772;0.09011200070381165;0.09085440635681152;0.09017600119113922
