layer_name;empty_rows_perc;empty_cols_perc;max_empty_perc;sparsity_perc;rows;cols
model.model.layers.0.self_attn.q_proj;11.279296875;73.6328125;73.6328125;0.5999982357025146;4096;4096
model.model.layers.0.self_attn.k_proj;9.6435546875;90.4541015625;90.4541015625;0.5999982357025146;4096;4096
model.model.layers.0.self_attn.v_proj;2.24609375;62.255859375;62.255859375;0.5999982357025146;4096;4096
model.model.layers.0.self_attn.o_proj;1.4892578125;89.013671875;89.013671875;0.5999982357025146;4096;4096
model.model.layers.0.mlp.gate_proj;10.274346351623535;0.09765625;10.274346351623535;0.5999986515488736;11008;4096
model.model.layers.0.mlp.up_proj;12.727107048034668;0.09765625;12.727107048034668;0.5999986515488736;11008;4096
model.model.layers.0.mlp.down_proj;0.0;75.2997817993164;75.2997817993164;0.5999986515488736;4096;11008
model.model.layers.1.self_attn.q_proj;16.40625;38.330078125;38.330078125;0.5999982357025146;4096;4096
model.model.layers.1.self_attn.k_proj;16.0888671875;44.04296875;44.04296875;0.5999982357025146;4096;4096
model.model.layers.1.self_attn.v_proj;1.66015625;37.5;37.5;0.5999982357025146;4096;4096
model.model.layers.1.self_attn.o_proj;0.0244140625;70.6298828125;70.6298828125;0.5999982357025146;4096;4096
model.model.layers.1.mlp.gate_proj;25.163516998291016;0.0732421875;25.163516998291016;0.5999986515488736;11008;4096
model.model.layers.1.mlp.up_proj;22.51998519897461;0.0732421875;22.51998519897461;0.5999986515488736;11008;4096
model.model.layers.1.mlp.down_proj;0.0;59.29323959350586;59.29323959350586;0.5999986515488736;4096;11008
model.model.layers.2.self_attn.q_proj;26.904296875;0.1708984375;26.904296875;0.5999982357025146;4096;4096
model.model.layers.2.self_attn.k_proj;28.61328125;0.5615234375;28.61328125;0.5999982357025146;4096;4096
model.model.layers.2.self_attn.v_proj;0.1708984375;36.9140625;36.9140625;0.5999982357025146;4096;4096
model.model.layers.2.self_attn.o_proj;0.0244140625;54.248046875;54.248046875;0.5999982357025146;4096;4096
model.model.layers.2.mlp.gate_proj;36.50072479248047;0.0732421875;36.50072479248047;0.5999986515488736;11008;4096
model.model.layers.2.mlp.up_proj;38.15406799316406;0.09765625;38.15406799316406;0.5999986515488736;11008;4096
model.model.layers.2.mlp.down_proj;0.0;28.660974502563477;28.660974502563477;0.5999986515488736;4096;11008
model.model.layers.3.self_attn.q_proj;36.0107421875;0.09765625;36.0107421875;0.5999982357025146;4096;4096
model.model.layers.3.self_attn.k_proj;35.4736328125;0.048828125;35.4736328125;0.5999982357025146;4096;4096
model.model.layers.3.self_attn.v_proj;0.2197265625;2.3193359375;2.3193359375;0.5999982357025146;4096;4096
model.model.layers.3.self_attn.o_proj;0.0244140625;55.3466796875;55.3466796875;0.5999982357025146;4096;4096
model.model.layers.3.mlp.gate_proj;33.45748519897461;0.048828125;33.45748519897461;0.5999986515488736;11008;4096
model.model.layers.3.mlp.up_proj;36.01926040649414;0.048828125;36.01926040649414;0.5999986515488736;11008;4096
model.model.layers.3.mlp.down_proj;0.0;28.561046600341797;28.561046600341797;0.5999986515488736;4096;11008
model.model.layers.4.self_attn.q_proj;33.837890625;0.0244140625;33.837890625;0.5999982357025146;4096;4096
model.model.layers.4.self_attn.k_proj;32.1044921875;0.09765625;32.1044921875;0.5999982357025146;4096;4096
model.model.layers.4.self_attn.v_proj;0.048828125;32.080078125;32.080078125;0.5999982357025146;4096;4096
model.model.layers.4.self_attn.o_proj;0.0244140625;44.6044921875;44.6044921875;0.5999982357025146;4096;4096
model.model.layers.4.mlp.gate_proj;20.58502960205078;0.0;20.58502960205078;0.5999986515488736;11008;4096
model.model.layers.4.mlp.up_proj;18.22311019897461;0.0;18.22311019897461;0.5999986515488736;11008;4096
model.model.layers.4.mlp.down_proj;0.0;35.91024398803711;35.91024398803711;0.5999986515488736;4096;11008
