Model Name;Maximum Empty Rows (%);Maximum Empty Column (%);Mean Maximum Empty Row or Column
restart_7b-gsm8k-rosa_wl64_d0.0045_1grads_mean_r4_loralr0.0007_alpha16-lr0.0003-epochs1-wu20-seed42-29436;97.675;95.73946220930233;49.232500161498706
restart_7b-viggo-rosa_wl64_d0.006_1grads_mean_r48_loralr0.0001_alpha16-lr0.0001-epochs1-wu20-seed42-18335;95.025;88.4765625;47.42353700339148
restart_7b-gsm8k-rosa_wl64_d0.006_32grads_mean_squared_r16_loralr0.0007_alpha16-lr0.0002-epochs1-wu20-seed42-2856;90.790625;93.40479651162791;39.43100399709301
restart_7b-gsm8k-rosa_wl64_d0.003_32grads_mean_r8_loralr0.0007_alpha16-lr0.0004-epochs1-wu20-seed42-30687;92.15;96.82957848837209;56.43081029958011
restart_7b-gsm8k-rosa_wl64_d0.012_1grads_mean_r32_loralr0.0007_alpha16-lr0.0003-epochs3-wu20-seed42-19139;96.428125;84.38408430232558;27.533462855297156
restart_7b-gsm8k-rosa_wl64_d0.018_1grads_mean_r16_loralr0.0007_alpha16-lr0.0002-epochs3-wu20-seed42-23897;94.796875;79.94186046511628;19.60347232315891
restart_7b-sql-rosa_wl64_d0.0015_1grads_mean_r12_loralr0.0002_alpha16-lr0.0002-epochs3-wu20-seed42-29722;99.1875;98.73046875;79.13914869993538
restart_7b-viggo-rosa_wl64_d0.0015_1grads_mean_r12_loralr0.0002_alpha16-lr0.0002-epochs3-wu20-seed42-7551;99.53125;98.9013671875;75.2943727793928
restart_7b-viggo-rosa_wl64_d0.012_1grads_mean_r32_loralr0.0002_alpha16-lr0.0002-epochs1-wu20-seed42-15658;87.828125;84.31140988372093;32.95999858688631
restart_7b-gsm8k-rosa_wl64_d0.003_1grads_mean_r24_loralr0.0007_alpha16-lr0.0003-epochs3-wu20-seed42-15769;97.85312499999999;96.62063953488372;59.02304322109172
restart_7b-sql-rosa_wl64_d0.006_1grads_mean_r16_loralr0.0002_alpha16-lr0.0002-epochs1-wu20-seed42-11099;97.09687500000001;90.2587890625;52.71410889050388
restart_7b-gsm8k-rosa_wl64_d0.003_32grads_mean_squared_r8_loralr0.0007_alpha16-lr0.0002-epochs1-wu20-seed42-6129;92.15;96.82957848837209;56.43081029958011
restart_7b-gsm8k-rosa_wl64_d0.006_32grads_mean_r16_loralr0.0007_alpha16-lr0.0003-epochs1-wu20-seed42-11918;90.790625;93.40479651162791;39.43100399709301
restart_7b-sql-rosa_wl64_d0.006_1grads_mean_r48_loralr0.0002_alpha16-lr0.0002-epochs3-wu20-seed42-32309;97.0;92.12390988372093;53.62110677083336
restart_7b-gsm8k-rosa_wl64_d0.006_8grads_mean_r16_loralr0.0007_alpha16-lr0.0003-epochs1-wu20-seed42-17250;94.425;88.90806686046511;41.137765624999986
restart_7b-viggo-rosa_wl64_d0.0015_1grads_mean_r12_loralr0.0001_alpha16-lr0.0001-epochs3-wu20-seed42-12832;99.5;98.974609375;74.87890211159564
restart_7b-sql-rosa_wl64_d0.006_1grads_mean_r16_loralr0.0003_alpha16-lr0.0003-epochs1-wu20-seed42-12041;97.06875000000001;92.05123546511628;52.603243721737726
restart_7b-sql-rosa_wl64_d0.009_1grads_mean_r8_loralr0.0002_alpha16-lr0.0002-epochs1-wu20-seed42-1781;94.846875;87.255859375;43.787755127584006
restart_7b-sql-rosa_wl64_d0.003_1grads_mean_r8_loralr0.0004_alpha16-lr0.0004-epochs1-wu20-seed42-23185;98.615625;96.7296511627907;65.94562219395996
restart_7b-gsm8k-rosa_wl64_d0.0015_1grads_mean_r12_loralr0.0007_alpha16-lr0.0003-epochs1-wu20-seed42-22767;98.1875;98.974609375;73.49661276647288
restart_7b-sql-rosa_wl64_d0.018_1grads_mean_r16_loralr0.0002_alpha16-lr0.0002-epochs3-wu20-seed42-17381;86.5;78.93350290697676;31.540820615310075
restart_7b-gsm8k-rosa_wl64_d0.0045_1grads_mean_r4_loralr0.0003_alpha16-lr0.0003-epochs3-wu20-seed42-7246;97.675;95.1126453488372;48.8703695897933
restart_7b-sql-rosa_wl64_d0.006_1grads_mean_r16_loralr0.0001_alpha16-lr0.0001-epochs1-wu20-seed42-5863;97.36875;92.7978515625;49.97697793523903
